브랜드명,국가,스킨케어,제품명,Id,가격,전성분표기,효능,피부타입,이미지url,비건인증
매드히피,미국,에센스/세럼/앰플,매드히피 비타민C세럼 수분 비타민 앰플 30mL,MH1,55000,"정제수,소듐아스코빌포스페이트,C12-15알킬벤조에이트,글리세린,소듐레불리네이트,소듐아니세이트,클레리추출물,왕귤나무,하이알루로닉애씨드,곤약뿌리가루,알로에베라잎,토코트라이엔올,페룰릭애씨드,마트리카리아추출물,소듐파이테이트,잔탄검,하이드록시에틸셀룰로오스",수분공급,모든피부,https://madhippie.net/web/product/extra/big/202007/9014968022eb2826f4763a60fa001b11.jpg,BPA-FREE
매드히피,미국,로션/크림,매드히피 페이스크림 영양 크림 30ml,MH2,45000,"정제수,알로에베라잎즙,세테아릴알코올,팔미토일트라이펩타이드-38,잇꽃씨오일,글리세린,카프릴릭/카프릭트라이글리세라이드,나이아신아마이드,팔미토일다이펩타이드-5다이아미노부틸로일하이드록시트레오닌,글리세릴스테아레이트,아이소프로필팔미테이트,페네틸알코올,카프릴릴글라이콜,에틸헥실글리세린,소듐피씨에이,소르빅애씨드,C10-18트라이글리세라이즈,잔탄검,아르간커넬오일,포타슘솔베이트,레스베라트롤,코코넛야자오일,시트릭애씨드,녹차추출물,유비퀴논,아사이팜열매추출물,토코페롤,부틸렌글라이콜,석류씨추출물,토코트라이엔올,라임추출물","수분공급,진정,보습",모든피부,https://madhippie.net/web/product/big/201906/59d556f26b677214a914c0467f69e873.jpg,BPA-FREE
메리플래닛,한국,스킨/토너,멜로우 비건 LHA 토너 250ml,MP1,39000,"정제수,다이프로필렌글라이콜,글리세린,부틸렌글라이콜,하이드록시아세토페논,폴리글리세릴-10라우레이트,카프릴릴글라이콜,폴리글리세릴-4라우레이트,카보머,파스향나무잎추출물,트로메타민,다이소듐이디티에이,카프릴로일살리실릭애씨드,다이포타슘글리시리제이트,바추잎잎추출물,오레가노잎추출물,흰버드나무껍질추출물,편백잎추출물,쇠비름추출물,육계나무껍질추출물,황금추출물,락토바실러스/콩발효추출물,시트릭애씨드",각질개선,모든피부,https://merryplanet.co.kr/web/product/big/202308/c78f61ea44c2f7dcb3531d4f52c91c8c.png,한국비건인증원
메리플래닛,한국,에센스/세럼/앰플,멜로우 비건 LHA 에센스 70ml,MP2,46000,"정제수,글리세린,아이소프로필미리스테이트,부틸렌글라이콜,다이프로필렌글라이콜,소듐폴리아크릴로일다이메틸타우레이트,하이드록시아세토페논,하이드로제네이티드폴리데센,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,카프릴릴글라이콜,트로메타민,카프릴로일살리실릭애씨드,파스향나무잎추출물,트라이데세스-10,다이소듐이디티에이,병풀추출물,모란뿌리추출물,버드나무껍질추출물,락토바실러스/콩발효추출물,쇠비름추출물,오레가노잎추출물,육계나무껍질추출물,황금추출물,편백잎추출물,다이포타슘글리시리제이트,1❤️2-헥산다이올,바추잎잎추출물,알로에베라잎추출물,시트릭애씨드",진정,모든피부,https://merryplanet.co.kr/web/product/big/202203/a4d2819c816e6cfab39c956d645e8729.png,한국비건인증원
메리플래닛,한국,로션/크림,멜로우 비건 LHA 크림 80ml,MP3,47000,"정제수,글리세린,다이프로필렌글라이콜,페닐트라이메티콘,폴리글리세릴-3메틸글루코오스다이스테아레이트,카보머,스테아릭애씨드,C12-16알코올,부틸렌글라이콜,하이드록시아세토페논,트로메타민,팔미틱애씨드,하이드로제네이티드레시틴,카프릴릴글라이콜,카프릴로일살리실릭애씨드,파스향나무잎추출물,다이소듐이디티에이,병풀추출물,프로판다이올,흰버드나무껍질추출물,락토바실러스/콩발효추출물,쇠비름추출물,오레가노잎추출물,육계나무껍질추출물,황금추출물,편백잎추출물,다이포타슘글리시리제이트,1❤️2-헥산다이올,바추잎잎추출물,하이드롤라이즈드완두콩단백질,피토스테롤,레시틴,스쿠알란,올리브오일,시트릭애씨드,세라마이드엔피,시어버터","보습,피부결개선",모든피부,https://merryplanet.co.kr/web/product/big/202203/264c16bca5e2c343b4debd2fcca3e382.png,한국비건인증원
멜릭서,한국,스킨/토너,멜릭서 비건 릴리프 페이셜 모이스처라이저,ML1,48000,"정제수,녹차추출물,글리세린,다이프로필렌글라이콜,프로판다이올,메틸트라이메티콘,펜틸렌글라이콜,다이페닐실록시페닐트라이메티콘,펜타에리스리틸테트라에틸헥사노에이트,1❤️2-헥산다이올,블랙커민씨오일,포도씨오일,병풀잎추출물,오카무라큰실말추출물,흰버드나무껍질추출물,커피콩추출물,인도멀구슬나무잎추출물,라벤더오일,베르가모트잎추출물,인도멀구슬나무꽃추출물,소나무잎추출물,마조람잎오일,카카오씨추출물,캐모마일꽃오일,다이글리세린,폴리메틸실세스퀴옥세인,소듐폴리아크릴로일다이메틸타우레이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,하이드록시아세토페논,트로메타민,데실글루코사이드,에틸헥실글리세린,소듐파이테이트,덱스트린,토코페롤,잔탄검,리날룰","수분공급, 진정, 보습","민감성, 복합성, 지성",https://kr.melixirskincare.com/web/product/tiny/202304/9bd9062d216dfa12d641e78e04ddc963.jpg,PETA
멜릭서,한국,스킨/토너,멜릭서 비건 밸런싱 토너 150ml,ML2,18000,"정제수,부틸렌글라이콜,1❤️2-헥산다이올,녹차추출물",진정,모든피부,https://kr.melixirskincare.com/web/product/tiny/202304/c3f64b6f1792b732431dd6a5e3d273f0.jpg,PETA
멜릭서,한국,스킨/토너,멜릭서 비건 밸런싱 토너 290ml,ML3,36000,"정제수,부틸렌글라이콜,1❤️2-헥산다이올,녹차추출물",진정,모든피부,https://kr.melixirskincare.com/web/product/tiny/202304/950d77e3dcee99734954ed1a6e4c1f80.jpg,PETA
멜릭서,한국,에센스/세럼/앰플,멜릭서 비건 뱀부 하이드레이션 세럼,ML4,38000,"밤부사불가리스수,메틸프로판다이올,부틸렌글라이콜,글리세린,다이프로필렌글라이콜,정제수,펜틸렌글라이콜,1❤️2-헥산다이올,녹차추출물,병풀잎추출물,오카무라큰실말추출물,흰버드나무껍질추출물,커피콩추출물,베르가모트잎추출물,소나무잎추출물,올리브오일,연필향나무오일,센티드제라늄꽃오일,자몽껍질오일,라벤더오일,화이트참파카꽃오일,캐모마일꽃오일,판테놀,C12-14알케스-12,데실글루코사이드,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,트로메타민,아데노신,에틸헥실글리세린,바이오사카라이드검-1,락토바이오닉애씨드,토코페롤,카보머,잔탄검,시트로넬올","수분공급, 주름 개선",모든피부,https://kr.melixirskincare.com/web/product/tiny/202304/281778619f44c2611c01337d1cdc9e9e.jpg,PETA
멜릭서,한국,스킨/토너,멜릭서 비건 바하 리퀴드 각질제거제,ML5,26000,"정제수,부틸렌글라이콜,펜틸렌글라이콜,메틸프로판다이올,에톡시다이글라이콜,프로판다이올,글리세린,글루코노락톤,살리실릭애씨드,베타-글루칸,판테놀,녹차추출물,병풀추출물,병풀잎추출물,티트리잎추출물,오카무라큰실말추출물,클로렐라불가리스추출물,커피콩추출물,버지니아풍년화수,베르가모트잎추출물,소나무잎추출물,트로메타민,데실글루코사이드,폴리아크릴레이트크로스폴리머-6,글루코오스,프룩토올리고사카라이드,프룩토오스,1❤️2-헥산다이올,아데노신,다이포타슘글리시리제이트,소듐파이테이트,에틸헥실글리세린,잔탄검,t-부틸알코올",진정,"지성, 복합성, 민감성",https://kr.melixirskincare.com/web/product/tiny/202304/f6f0b3cfcb84aedb8de5741d78f1bc59.jpg,PETA
